year,US_Cinema_Release,Studio_Ind_Total,IMDb_Studio_Films,IMDb_5_votes_60_min,IMDb_5_votes_60_min_Countries,IMDb_Countries_Rated_5_votes,Rated_My_Rated
2025,,192,86,7352,4697,391,19
2024,569,175,118,9831,6503,512,20
2023,506,149,156,10338,7014,572,26
2022,460,110,130,10220,7068,559,26
2021,411,93,120,9051,6537,508,16
2020,332,55,103,8373,6422,440,11
2019,792,130,167,10621,7502,548,34
2018,872,144,200,10494,7568,644,43
2017,742,132,180,10329,7630,703,40
2016,737,141,191,9783,7325,711,38
2015,707,126,191,9485,7166,726,32
2014,708,126,198,9178,7000,828,54
2013,686,121,171,8683,6777,804,45
2012,669,132,179,8362,6590,777,40
2011,601,136,179,8031,6433,845,39
2010,538,126,201,7589,6014,807,45
2009,520,142,181,7494,6073,908,53
2008,607,152,208,7154,5794,954,52
2007,631,168,219,6591,5375,915,49
2006,608,159,235,6553,5398,950,40
2005,547,138,221,5981,4962,848,37
2004,551,138,218,5311,4389,835,52
2003,507,129,205,4900,4035,774,46
2002,480,140,224,4549,3711,852,52
2001,355,128,194,4248,3510,825,67
2000,371,131,183,3926,3261,766,53
1999,,132,174,3590,2966,770,47
1998,,126,187,3402,2802,743,42
1997,,136,187,3243,2649,735,38
1996,,142,179,3093,2513,694,33
1995,,136,176,3036,2417,706,44
1994,,,165,2869,2238,630,35
1993,,,158,2755,2067,534,24
1992,,,144,2772,2032,550,29
1991,,,158,2765,1938,553,22
1990,,,148,2777,1925,557,23
1989,,,152,2964,2034,607,23
1988,,,169,2900,1987,605,25
1987,,,144,2884,1882,549,28
1986,,,135,2669,1701,456,21
1985,,,130,2519,1631,375,17
1984,,,125,2430,1611,339,19
1983,,,121,2474,1617,311,7
1982,,,108,2403,1557,311,12
1981,,,127,2325,1514,300,14
1980,,,117,2281,1532,313,11
1979,,,99,2304,1542,343,6
1978,,,106,2170,1433,312,7
1977,,,93,2145,1396,306,6
1976,,,93,2107,1437,371,5
1975,,,87,2108,1450,361,5
1974,,,105,2270,1570,412,11
1973,,,113,2255,1541,464,6
1972,,,112,2260,1512,417,3
1971,,,132,2259,1508,383,5
1970,,,111,2206,1507,335,2
1969,,,106,2145,1495,292,1
1968,,,117,2083,1409,209,4
